title,abstract,year,pmid,source,paperId
Transcriptomic Modulation of Inflammasome-Related Genes Following Metformin Administration in Breast Cancer Patients with Paclitaxel-Induced Neuropathy.,"INTRODUCTION: Chemotherapy-induced peripheral neuropathy (CIPN) is a common adverse effect of paclitaxel therapy. The inflammasome complex, including apoptosis-associated speck-like protein containing a CARD (ASC), Caspase-1, and NOD-like receptor family pyrin domain-containing 3 (NLRP3), is implicated in inflammatory signaling pathways related to neuropathy. This study aimed to evaluate transcriptomic changes in genes involved in the inflammasome pathway in breast cancer patients, with a specific focus on metformin treatment initiated after the onset of neuropathy. MATERIALS AND METHODS: A total of 51 breast cancer patients receiving paclitaxel were included (26 controls, 25 metformin). Metformin was initiated following the clinical onset of neuropathy. Plasma samples were collected at baseline, cycle 6, and cycle 12. Expression levels of ASC, Caspase-1, and NLRP3 were quantified as fold-change. Statistical analyses included normality testing (Shapiro-Wilk), temporal comparisons (Friedman or repeated-measures ANOVA), group comparisons (Mann-Whitney U-test), correlation (Spearman), and Receiver Operating Characteristic (ROC) analysis. RESULTS: No significant baseline differences were observed between groups. In the control group, ASC expression increased over time (p = 0.0005), while Caspase-1 and NLRP3 showed no significant temporal changes. In neuropathic patients, ASC (p < 0.0001), Caspase-1 (p = 0.0007), and NLRP3 (p = 0.04) expression levels were higher in the metformin group. ROC analysis demonstrated moderate discriminatory ability for ASC (AUC = 0.74) and Caspase-1 (AUC = 0.70), whereas NLRP3 showed weaker performance (AUC = 0.62). Correlation analysis revealed positive associations between ASC and Caspase-1, suggesting coordinated gene expression. These findings reflect transcriptomic modulation rather than functional inflammasome activation. CONCLUSION: Metformin administration after neuropathy onset was associated with transcriptomic changes in genes involved in the inflammasome pathway. However, these findings should be interpreted cautiously, as plasma RNA may not reflect protein activity or neural tissue processes, and further validation studies are required.",2026,42273646.0,PubMed,
Effects of metformin on head and neck cancer: an umbrella review.,"BACKGROUND: Metformin is a commonly used antihyperglycemic drug to treat type 2 diabetes mellitus worldwide. However, its effectiveness was recently documented beyond diabetic treatment, such as in the case of cancer. Recent epidemiological evidence suggests that the use of metformin has shown benefits in breast and colorectal cancer; however, its effectiveness was inconclusive in the case of head and neck cancer. This umbrella review aimed to evaluate the effectiveness of metformin among head and neck cancer patients. METHODS: Three electronic databases and additional sources (Google Scholar and citation screening) were used to extract relevant research records. A multistage screening was performed by two independent reviewers, and the study selection process was reported according to PRISMA guidelines. Along with descriptive findings and overlap assessment, a meta-analysis was performed using a random-effects model with 95% confidence interval. RESULT: A total of five studies were included. Analysis revealed that metformin increases overall survival probability among head and neck cancer patients by 0.74 times [95% C.I. (0.67-0.81)] compared to non-metformin user, indicating pharmacological effectiveness. Overall heterogeneity was negligible (I2 = 0%). Egger's test suggested funnel plot asymmetry, indicating potential publication bias. All studies have shown effectiveness in lowering incidence risk. CONCLUSION: Findings showed promising potential of metformin among HNC user. However, as there were very few studies available and quality assessment showed low confidence, a more comprehensive evaluation of metformin in diabetic and non-diabetic patients should be conducted to confirm these findings.",2026 May 29,42215897.0,PubMed,
Nanoparticle-Based Radiosensitization in Breast Cancer: A Multimodal Approach to Therapy and Immune Regulation.,"Radiotherapy is essential for breast cancer treatment, especially after lumpectomy. Its effectiveness, however, is hindered by tumor resistance, which causes recurrence and poorer outcomes. In the last decade, nanoparticle-mediated radiosensitization has emerged as a promising strategy to improve radiotherapy in breast cancer. Metal nanoparticles, such as gold, silver, platinum, and bismuth, increase the localized radiation dose through secondary electron emission and generate reactive oxygen species (ROS). Polymeric, liposomal, and hydrogel nanocarriers deliver radiosensitizers directly to tumors with sustained release. These features increase cytotoxicity and reduce hypoxia-related radioresistance. Nanoparticles also inhibit DNA repair pathways and modulate the tumor microenvironment, which enhances the radiation response. Additionally, nanoparticles can boost the effects of immunotherapy by activating dendritic cells, strengthening immune checkpoint blockade, and promoting anti-tumor immune memory. Recent preclinical studies have shown that combining nanoparticles loaded with natural compounds, such as curcumin, polyphenols, flavonoids, and metformin, increases oxidative stress and radiosensitivity in breast tumors while sparing healthy tissue. We provide an overview of nanoparticle-mediated radiosensitization mechanisms and novel supporting approaches for achieving better tumor responses with reduced toxicity.",2026 May,42204960.0,PubMed,
"Safety analyses of the INAVO120 randomised phase III trial of inavolisib or placebo with palbociclib-fulvestrant in patients with PIK3CA-mutated, hormone receptor-positive, HER2-negative, endocrine-resistant advanced breast cancer.","BACKGROUND: INAVO120 (NCT04191499) demonstrated significantly improved progression-free/overall survival with inavolisib plus palbociclib-fulvestrant versus placebo plus palbociclib-fulvestrant in patients with PIK3CA-mutated, hormone receptor-positive, HER2-negative, endocrine-resistant advanced breast cancer. We provide comprehensive analyses of key selected adverse events and their management. MATERIALS AND METHODS: Inavolisib was given 9 mg orally once daily on days 1-28 of each 28-day cycle; palbociclib, at 125 mg orally once daily on days 1-21; fulvestrant, at 500 mg intramuscularly on days 1 and 15 of cycle 1, and every  approximately 28 days thereafter. Supportive therapies were used as clinically indicated. Key selected adverse events assessed included hyperglycaemia, stomatitis/mucosal inflammation, rash and diarrhoea, graded per National Cancer Institute Common Terminology Criteria for Adverse Events v5.0. RESULTS: Data cut-off was 29 September 2023; median follow-up was 21.3 months (range 0-43.1; inavolisib arm) and 21.5 months (0.1-40.3; placebo arm). Inavolisib dose interruptions, reductions and discontinuations due to hyperglycaemia were observed in 27.2%, 2.5% and 0.6% of patients, respectively; the median time to first onset was 7.0 days (range 2.0-955.0). Metformin was the most commonly used antihyperglycaemic. No patients in the prediabetic population discontinued inavolisib due to hyperglycaemia. Inavolisib dose interruptions, reductions and discontinuations due to rash were observed in 1.2%, 0.6% and 0% of patients, respectively; the median time to first onset was 29.0 days (range 1.0-952.0). Topical hydrocortisone was most commonly used. Inavolisib dose interruptions, reductions and discontinuations due to stomatitis/mucosal inflammation were observed in 9.9%, 3.7% and 0.6% of patients, respectively; the median time to first onset was 13.0 days (range 1.0-610.0). Dexamethasone mouthwash was most commonly used. Inavolisib dose interruptions, reductions and discontinuations due to diarrhoea were observed in 6.8%, 1.2% and 0% of patients respectively; the median time to first onset was 13.0 days (range 1.0-610.0). Loperamide was most commonly used. Data were largely comparable across regions and ages. Inavolisib's safety profile was consistent with that of long-term treated populations. CONCLUSIONS: This analysis demonstrates the generally consistent, manageable and tolerable safety profile of inavolisib plus palbociclib-fulvestrant. Key selected adverse events were generally reversible and were controlled by concomitant medications and dose modifications.",2026 May 27,42202490.0,PubMed,
Sternoclavicular Joint Infection Caused by Staphylococcus capitis.,"A 74-year-old female patient presented with ""palpitations and chest tightness for half a day."" The symptoms developed suddenly while riding an elevator, accompanied by shortness of breath, but without dizziness or chest pain. The patient had a 5-year history of diabetes, managed with metformin. She had undergone a right mastectomy 20 years ago for breast cancer. On admission, her vital signs were stable. Physical examination revealed a tender, swollen mass in the right side of the neck, soft in texture, with purulent drainage. Blood tests showed an elevated C-reactive protein (CRP) level (51.47 mg/L). Imaging studies (computed tomography [CT], ultrasound, magnetic resonance imaging [MRI]) revealed a soft tissue mass in the right clavicular region, with possible osteomyelitis. The patient was diagnosed with a right-sided sternoclavicular joint skin infection complicated by osteomyelitis. Surgical debridement and drainage were performed, and pathological examination confirmed a Staphylococcus capitis infection. The patient was treated with a 10-week course of antibiotics, initially with intravenous ertapenem, later switched to oral linezolid. Throughout the treatment, no adverse drug reactions were observed. One month later, follow-up observations indicate that the patient's surgical wound is healing well. The patient's symptoms significantly improved, with complete resolution of palpitations, chest tightness, and shortness of breath. The treatment was well-tolerated. This case report aims to raise clinicians' awareness of sternoclavicular joint infections caused by Staphylococcus capitis and to highlight the importance of early diagnosis and individualized treatment strategies.",2026 May 8,42184239.0,PubMed,
Polycystic ovary syndrome and its association with reproductive cancers in women.,"OBJECTIVE: To determine whether individuals with polycystic ovary syndrome (PCOS) are at an increased risk of female reproductive cancers. STUDY DESIGN: A retrospective cohort study was performed using Optum's deidentified Clinformatics Data Mart Database (2000-2022). SUBJECTS: Females aged 18-50 with no prior reproductive cancer history. EXPOSURE: Individuals with PCOS, identified through ICD9/10 codes for PCOS and codes for both hirsutism and irregular menses, were matched 1:5 by age and diagnosis month with women without PCOS. MAIN OUTCOME MEASURES: The outcomes were incident female reproductive cancers, specifically: breast, uterine, ovarian/fallopian tube, and cervical. Stabilized inverse probability of treatment weights (IPTW) were used to control for confounding by race/ethnicity, education, and history of obesity, smoking, infertility, hypertension, hyperlipidemia, diabetes, and hormonal contraception use. The adjusted hazard (HR) of each outcome was calculated using doubly robust IPT-weighted Cox proportional hazards models adjusted for the variables in the IPTW models plus hereditary cancer syndrome. Censoring was performed at the time of diagnosis, date of surgery for the affected organ (e.g., date of hysterectomy for uterine cancer outcome), or end of time in Optum Clinformatics, as appropriate. Sensitivity analyses additionally controlled for medications used to treat medical comorbidities, including metformin, antihypertensives, and statins. RESULTS: A total of 422,613 patients with PCOS were age-matched to 2,113,065 patients without PCOS, with a mean age of approximately 31 +/- 7 years in both groups. At baseline, those with PCOS had a higher prevalence of all medical comorbidities assessed, yet equivalent prevalence of hereditary cancer syndrome (0.2%). Over an average of 3.6 +/- 4.1 years of follow-up, those with PCOS had significantly higher hazard of breast cancer (adjusted hazard ratio [aHR] 2.66, 95% confidence interval [CI]: 2.50-2.83), uterine cancer (aHR 5.76, 95% CI: 5.13-6.48), ovarian/fallopian tube cancer (aHR 4.38, 95% CI: 3.90-4.92), and cervical cancer (aHR 2.22, 95% CI: 2.06-2.37). Sensitivity analyses showed similar results for all outcomes. CONCLUSION: This large nationwide population-based study showed an increased risk of multiple reproductive cancers in reproductive-age women with PCOS compared with those without PCOS. Findings should be considered when determining future screening recommendations.",2026 May 22,42176842.0,PubMed,
Assessment of alpelisib-induced hyperglycemia in a real-world setting: A nationwide claims data analysis.,"IntroductionAlpelisib exhibits variability in length of drug exposure and clinical safety outside of clinical trials. This study aimed to bridge the gap between clinical trial outcomes and real-world evidence by quantifying the Time on Therapy (TOT) and examining the type and duration of antidiabetic agents used to manage alpelisib-induced hyperglycemia.MethodsThis is a retrospective longitudinal study utilizing nationwide claims data to analyze the treatment patterns of adults with breast cancer treated with alpelisib. Generalized estimating equation and Cox proportional hazards modeling were used to assess the impact of demographic and clinical characteristics on having an antidiabetic agent(s) and TOT of alpelisib, respectively.ResultsIn 546 participants treated with alpelisib, the median TOT was 87.5 days (IQR, 28.0-173.7) and the median of Proportion of Days Covered (PDC) was 97.62% (IQR, 87.7-100.0). Antidiabetic agent(s) usage increased from 20.0% to 34.3% pre- and post-alpelisib initiation, respectively. Among those who started antidiabetic agents after alpelisib, 81.8% were prescribed metformin and 44% insulin. Initiation of alpelisib therapy was associated with higher antidiabetic agent(s) usage (OR = 2.19, 95% CI, 1.61-2.97, p < 0.001). The use of antidiabetic agent(s) after starting alpelisib was associated with a longer TOT (HR = 0.76, 95% CI, 0.61-0.93, p = 0.008) compared to those who did not receive antidiabetic agent(s).ConclusionThe study shows that individuals who started antidiabetic agents after initiating alpelisib had longer TOT. This necessitates the need for close monitoring and proactive hyperglycemia management to improve adherence and clinical outcomes for individuals taking alpelisib.",2026 May 20,42159385.0,PubMed,
Association between HbA1c and breast cancer risk in women with type 2 diabetes mellitus: A case-control study.,"Type 2 diabetes mellitus (T2DM) has been linked to several types of cancer, including breast cancer. Glycated hemoglobin (HbA1c) serves as an indicator of long-term blood sugar control, and elevated levels may contribute to the development of breast cancer. This study aims to evaluate the association between elevated HbA1c levels and breast cancer risk in women with T2DM attending a tertiary care hospital in South India, and to compare HbA1c levels between diabetic women with and without breast cancer. A retrospective case-control study was conducted at Kovai Medical Center from 2014 to 2016 among women with T2DM. Breast cancer was histopathologically confirmed. Data on HbA1c (<7.0% vs >/=7.0%), body mass index, diabetes duration, menopausal status, and family history were collected. Associations with breast cancer risk were analyzed using Chi-square tests and logistic regression adjusted for confounders, with significance set at P < .05. The study included 182 women with T2DM and breast cancer and 197 age-matched controls without breast cancer. Poor glycemic control (HbA1c >/= 7.0%) was more prevalent among cases and significantly associated with breast cancer in multivariable logistic regression adjusting for age, body mass index, menopausal status, diabetes duration, and insulin use (adjusted OR = 2.98, 95% CI: 1.08-8.21, P < .0001). Additional risk factors included postmenopausal status (OR = 4.52, 95% CI: 1.36-15.00), age 50 to 59 years (OR = 8.30, 95% CI: 2.80-19.32), and insulin use (OR = 2.57, 95% CI: 1.04-3.21). Most cases were estrogen receptor and progesterone receptor negative, with 63% diagnosed at stage I. Advanced stages (II/III), triple-negative breast cancer (OR = 2.78, 95% CI: 1.05-3.65), and higher Ki-67 index (intermediate: OR = 1.91, high: OR = 3.00) were linked to more aggressive disease. In this retrospective case-control study, higher HbA1c levels (>/=7.0%) were associated with breast cancer presence and more advanced tumor stages among women with T2DM, although the odds ratio for HbA1c should be interpreted cautiously. Postmenopausal status and insulin use were more common among cases, while metformin use showed a nonsignificant inverse trend. triple-negative breast cancer status and higher Ki-67 index were also more frequent in advanced disease.",2026 May 15,42152291.0,PubMed,
Diabetes and cancer: clinical implications for integrated metabolic-oncologic care.,"Diabetes mellitus and cancer are among the most prevalent non-communicable diseases worldwide and increasingly coexist in clinical practice. Epidemiological evidence indicates that type 2 diabetes is associated with elevated risk of several malignancies, including hepatocellular, pancreatic, colorectal, endometrial, and breast cancers. At the same time, cancer and its treatments may significantly disrupt metabolic homeostasis and complicate glycemic control. Therapies such as glucocorticoids, PI3K inhibitors, and immune checkpoint inhibitors can induce hyperglycemia or precipitate new-onset diabetes. Metabolic dysregulation during cancer therapy has been associated with increased infection risk, treatment complications, and adverse clinical outcomes. This review summarizes the epidemiological evidence linking diabetes and cancer and discusses the clinical implications of their bidirectional interaction. The growing coexistence of both conditions highlights the need for integrated metabolic-oncologic care. Proactive glycemic monitoring, individualized antidiabetic therapy selection, and multidisciplinary management may improve treatment tolerance and long-term outcomes in patients with cancer and diabetes.",2026,42147243.0,PubMed,
Combination of ivermectin and metformin promotes autophagy in MCF‑7 cells by inhibiting phosphorylation of the PI3K/AKT/mTOR pathway.,"Breast cancer remains one of the leading causes of cancer‑related mortality among women globally, necessitating the exploration of novel therapeutic strategies. The present study investigated the combined effects of Ivermectin (IVM) and metformin (MET) on the human mammary tumor cell line MCF‑7, with a focus on their mechanisms of action. Cell Counting Kit‑8 assays were employed to evaluate proliferative activity, while Transwell migration and scratch assays assessed invasive and migratory capabilities. Transcriptomic analysis identified differentially expressed genes and key signalling pathways, while flow cytometry quantified reactive oxygen species (ROS) levels. Autophagosome formation was visualized using transmission electron microscopy. Western blotting and immunofluorescence staining were employed to detect changes in the expression of key proteins. Results demonstrated that combined IVM and MET intervention significantly inhibited MCF‑7 cell viability after 24 h, showing concentration‑dependent reductions in proliferation, migration and invasiveness. Transcriptomic analysis revealed a significant enrichment of the PI3K/AKT/mTOR signaling pathway, accompanied by decreased expression of thrombospondin‑1 (THBS1). Western blotting revealed that the combination therapy reduced phosphorylation levels of phosphorylated (p‑)PI3K, p‑AKT and p‑mTOR. Through the use of THBS1 overexpression plasmids, the present study validated its positive regulatory role in the PI3K/AKT/mTOR pathway, demonstrating that THBS1 mediates phosphorylation within this signaling cascade. Flow cytometry analysis demonstrated that the IVM combined with MET treatment group exhibited significantly elevated intracellular ROS levels compared with the single‑drug therapy group, triggering oxidative stress responses. After clearing ROS using N‑acetyl‑L‑cysteine, the PI3K/AKT/mTOR signaling pathway was reactivated. Additionally, transmission electron microscopy revealed extensive autophagosome formation within tumor cells of the IVM‑MET combination group. The results indicate that IVM‑MET inhibits PI3K/AKT/mTOR pathway phosphorylation through the accumulation of ROS and the downregulation of THBS1 expression, thereby activating autophagy programs and ultimately leading to tumor cell death.",2026 Jul,42138203.0,PubMed,
